"Issue Id","Project","Tags","Summary","Reporter","Created","Updated","Resolved","Priority","Type","State","Assignee","Sprints","Story points","Environment","QASE TC # (only for bug)","Description","Votes"
"G11-3","group1.1","","#11 Mobile App Testing","root","10 Sep 2022","12 Nov 2022",,"Critical","Epic","Open","Unassigned","Нет версии исправления",,"No environment","No qase tc # (only for bug)",,"0"
"G11-218","group1.1","Star","Mobile App Testing Julia Lapina","julia.lapinsh","8 Nov 2022","8 Nov 2022",,"Normal","Task","Open","Unassigned","Нет версии исправления",,"No environment","No qase tc # (only for bug)",,"0"
"G11-231","group1.1","Star","Not always saving notes","julia.lapinsh","8 Nov 2022","8 Nov 2022",,"Normal","Task","Open","Unassigned","Нет версии исправления",,"macOS Monterey, Android Studio","No qase tc # (only for bug)","Preconditions: Instal android studio on comuter. Choose Pixel for emulator Download and instal test_app.apk.
STR:

1. Press red circle to add new to do list
2. Fill in title, and test text
3. Save the note by pressing red circle tick button 
   
   Act.result:the note haven't been  saved, it repeats not constantly. Adding loggs to the attachments. 
   
   Exp.result:the note is saved","0"
"G11-229","group1.1","Star","no ability to use cyrillic ","julia.lapinsh","8 Nov 2022","8 Nov 2022",,"Normal","Bug","Open","Unassigned","Нет версии исправления",,"macOS Monterey, Android Studio","No qase tc # (only for bug)","Preconditions: Instal android studio on comuter. Choose Pixel for emulator Download and instal test_app.apk.
STR:

1\. press red circle to create new to do list

2\.start typing cyrillic in the title or at the text area 

Act.result:no ability to type using cyrillic

Exp.result:you can enter either  cyrillic or latin ","0"
"G11-224","group1.1","Star","No auto data saving when telefon is turned off","julia.lapinsh","8 Nov 2022","8 Nov 2022",,"Normal","Bug","Open","Unassigned","Нет версии исправления",,"macOS Monterey, Android studio","No qase tc # (only for bug)","Preconditions: Instal android studio on comuter. Choose Pixel for emulator Download and instal test_app.apk.

STR:

1\. Create test to do list, don't save it. 

2\. Press turn off the telefon on emelator. 

3\. Turn on the tel

Act.result: to do list is not saved

Exp.result:
to do list is saved","0"
"G11-222","group1.1","Star","The button  go back  is not working","julia.lapinsh","8 Nov 2022","8 Nov 2022",,"Normal","Bug","Open","Unassigned","Нет версии исправления",,"macOS Monterey, Android Studio","No qase tc # (only for bug)","The button to go back is not working when you want to exit new to do list without saving it.

Preconditions: Instal android studio on computer. Choose Pixel for emulator Download and instal test_app.apk.



STR: 1. Press red circle to add new to do list

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;2. Press the button to go back/ escape

Act.result: nothing happened, you can't go back to the home page

Exp.result:you can return to the home page","0"
"G11-177","group1.1","Star","Web App Testin Julia Lapina","julia.lapinsh","4 Oct 2022","6 Oct 2022",,"Normal","Task","Open","Unassigned","Нет версии исправления",,"No environment","No qase tc # (only for bug)",,"0"
"G11-2","group1.1","","#7 Web App Testing","root","10 Sep 2022","5 Oct 2022",,"Critical","Epic","Open","Unassigned","Нет версии исправления",,"No environment","No qase tc # (only for bug)",,"0"
"G11-190","group1.1","","Shipping Adress: invalid data in First name, Last name, City, Adress, zip code, phone number is not forbidden, te","arakhimova","5 Oct 2022","5 Oct 2022",,"Normal","Task","Open","Unassigned","Нет версии исправления",,"Windows 11  21H2 Google Chrome  105.0.5195.127","No qase tc # (only for bug)","**Str:**

1. Open link <https://demowebshop.tricentis.com/cart>, add goods to shopping cart
2. Click checkbox  ""I agree with the terms of service and I adhere to them unconditionally (read)"" and click checkbox button
3. Click Checkout as a guest button
4. Input invalid data (numbers, special characters) in First name text field
5. Fill other fields
6. Click continue button



**Result:** numbers, special characters are available, checkout continious

**Expected result:** error or warning massage should appear ","0"
"G11-184","group1.1","Star","shipping method not correct values, always zero","julia.lapinsh","5 Oct 2022","5 Oct 2022",,"Normal","Bug","Open","Unassigned","Нет версии исправления",,"macOS Monterey Google Chrome  v.105.0.5195.125","No qase tc # (only for bug)","STR:

1. open <http://demowebshop.tricentis.com/>, log in
2. add some products to the cart
3. go to the shopping cart -\> shipping method

Act. result: all shipping method always have 0.00 price

Exp. result: shipping method price should have various values according to the method.","0"
